station,district,datetime,timestamp_epoch,rainfall_t0,rainfall_t_minus_1,rainfall_t_minus_2,rainfall_t_minus_3,rainfall_t_minus_4,rainfall_rolling_3h_mean,rainfall_rolling_6h_sum,rainfall_delta_1h,rainfall_acceleration,latitude,longitude,district_flooded_area_pct,district_permanent_water_pct,district_mean_flood_duration,district_hist_event_density,live_report_corroboration,volunteer_verified_weight,target_risk_15m,target_risk_30m,target_risk_60m,target_class_15m,target_class_30m,target_class_60m
Pudukkottai,pudukkottai,2026-01-10 12:00,1768046400.0,1.5,0.5,0.5,0.5,0.5,0.8333333333333334,4.5,1.0,1.0,10.37694444,78.81777778,0.613684296,0.085746267,6.0,18,0.0,0.0,0.05632719554666667,0.047355140836190475,0.060547371839999996,0,0,0
Pattukottai_1,thanjavur,2026-01-10 12:00,1768046400.0,1.0,1.0,0.5,3.5,4.5,0.8333333333333334,11.0,0.0,-0.5,10.426111,79.326111,6.262291183,0.139785443,9.0,36,0.0,0.0,0.20536873549,0.23465638188119048,0.33849164732000003,0,0,0
Peravoorani_1,thanjavur,2026-01-10 12:00,1768046400.0,0.5,1.0,1.5,2.0,0.5,1.0,6.0,-0.5,0.0,10.288611,79.201667,6.262291183,0.139785443,9.0,36,0.0,0.0,0.19661873549000003,0.23775161997642857,0.29849164732,0,0,0
Aranthangi_1,pudukkottai,2026-01-10 13:00,1768050000.0,0.5,2.0,3.0,2.5,1.0,1.8333333333333333,13.5,-1.5,-0.5,10.16,79.004167,0.613684296,0.085746267,6.0,18,0.0,0.0,0.02716052888,0.05552656940761905,0.13254737183999998,0,0,0
Peravoorani_1,thanjavur,2026-01-10 13:00,1768050000.0,3.0,0.5,1.0,1.5,2.0,1.5,8.5,2.5,3.0,10.288611,79.201667,6.262291183,0.139785443,9.0,36,0.0,0.0,0.2695354021566667,0.27823733426214287,0.31849164732,0,0,0
Aranthangi_1,pudukkottai,2026-01-10 14:00,1768053600.0,0.5,0.5,2.0,3.0,2.5,1.0,9.5,0.0,1.5,10.16,79.004167,0.613684296,0.085746267,6.0,18,0.0,0.0,0.02716052888,0.055650378931428574,0.10054737184,0,0,0
Peravoorani_1,thanjavur,2026-01-10 14:00,1768053600.0,3.0,3.0,0.5,1.0,1.5,2.1666666666666665,11.0,0.0,-2.5,10.288611,79.201667,6.262291183,0.139785443,9.0,36,0.0,0.0,0.24036873549,0.25941828664309524,0.33849164732000003,0,0,0
Raya Raghunatha Samudiram,pudukkottai,2026-01-10 14:00,1768053600.0,0.5,0.5,1.5,2.0,1.0,0.8333333333333334,5.5,0.0,1.0,10.25694444,78.81833333,0.613684296,0.085746267,6.0,18,0.0,0.0,0.02716052888,0.047355140836190475,0.06854737184,0,0,0
Ponneri,tiruvallur,2026-01-10 15:00,1768057200.0,1.0,0.5,0.5,0.5,4.0,0.6666666666666666,7.5,0.5,0.5,13.33138889,80.19527778,3.5,1.2,2.0,3,0.0,0.0,0.12833333333333333,0.14008095238095236,0.19999999999999998,0,0,0
Raya Raghunatha Samudiram,pudukkottai,2026-01-10 15:00,1768057200.0,0.5,0.5,0.5,1.5,2.0,0.5,6.0,0.0,0.0,10.25694444,78.81833333,0.613684296,0.085746267,6.0,18,0.0,0.0,0.02716052888,0.030764664645714285,0.07254737184,0,0,0
Pudukkottai,pudukkottai,2026-01-10 15:00,1768057200.0,0.5,1.5,0.5,0.5,0.5,0.8333333333333334,4.0,-1.0,-2.0,10.37694444,78.81777778,0.613684296,0.085746267,6.0,18,0.0,0.0,0.02716052888,0.036955140836190475,0.05654737184,0,0,0
Peravoorani_1,thanjavur,2026-01-10 15:00,1768057200.0,2.5,3.0,3.0,0.5,1.0,2.8333333333333335,11.5,-0.5,-0.5,10.288611,79.201667,6.262291183,0.139785443,9.0,36,0.0,0.0,0.23161873549,0.2717992390240476,0.34249164732,0,0,0
